Estado,SKU,Nome,PV,Preço Consumidor,25%,35%,42%,50%,Origem_Aba
BA,16,1417 Herbalife24 Hours Tri-Core Protein Blend Chocolate,"46,80","467,00","367,71","330,97","305,26","275,87",BA(1)
BA,89,0931 Nutri Soup Creme Verde,"25,75","246,00","179,62","159,39","145,23","129,05",BA(1)
BA,01,148K BCAA 5:1:1,"25,85","264,00","195,44","178,40","166,47","152,83",BA(1)
BA,91,496K Fiber Concentrate Uva,"20,30","206,00","141,44","125,52","114,37","101,63",BA(1)
BA,498K,Fiber Concentrate Manga,"20,30","206,00","141,44","125,52","114,37","101,63",BA(1)
BA,01,059K Herbal Concentrate Original 102g,"37,60","364,00","266,45","236,44","215,44","191,44",BA(1)
BA,09,0065 Herbalifeline,"27,70","281,00","204,31","181,31","165,20","146,80",BA(1)
BA,30,3122 Multivitaminas e Minerais,"10,75","122,00","86,16","76,46","69,66","61,90",BA(1)
BA,a,0411 Sabonete em Barra Soft Green Chá Verde,"2,05","21,00","11,32","10,35","9,67","8,89",BA(1)
BA,34,0431 Creme Hidratante Soft Green Chá Verde,"8,20","82,00","48,33","44,20","41,31","38,01",BA(1)
BA,64,0766 Cleanser Facial Cítrico 150ml,"13,70","182,00","99,75","89,98","83,14","75,33",BA(1)
BA,50,0770 Gel Firmador para os Olhos 15ml,"21,70","282,00","154,20","138,63","127,73","115,27",BA(1)
BA,31,0773 Máscara Purificante de Argila 120ml,"13,80","185,00","101,68","91,67","84,67","76,66",BA(1)
BA,56,0768 Sérum Facial Redutor de linhas 30ml,"30,90","397,00","217,33","195,48","180,19","162,71",BA(1)
BA,27,0408 Sabonete Líquido para as mãos Soft Green Chá Verde,"7,20","71,00","49,99","45,72","42,73","39,31",BA(1)
BA,46,0563 Desodorante Soft Green Chá Verde,"2,70","30,00","16,95","15,51","14,50","13,35",BA(1)
PI,a,534K Protein Ice Cream (Gelato Proteico) Sabor Chocolate,"59,80","473,00","366,96","334,94","312,52","286,90",PI
PI,80,535K Protein Ice Cream (Gelato Proteico) Sabor Baunilha,"59,80","473,00","366,96","334,94","312,52","286,90",PI
PI,80,447K Shake Pistache,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,249K Shake Frapê de Abacaxi,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,295K Shake Cookies & Cream,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,023K Shake Café Cremoso,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,0940 Shake Doce De Leite,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,3144 Shake Chocolate Sensation,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,0951 Shake Baunilha Cremoso,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,0953 Shake Morango Cremoso,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,326K Shake Banana Caramelizada,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,439K Shake Torta de Limão,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,0930 Shake Coco,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,2122 Shake Doce de Leite Embalagem Econômica,"102,00","786,00","625,33","570,75","532,55","488,90",PI
PI,79,387K Shake Chocolate Sensation Embalagem Econômica,"96,90","786,00","594,26","542,40","506,10","464,61",PI
PI,79,2129 Shake Baunilha Cremoso Embalagem Econômica,"102,00","786,00","625,33","570,75","532,55","488,90",PI
PI,79,1446 Shake Morango Cremoso Embalagem Econômica,"102,00","786,00","625,33","570,75","532,55","488,90",PI
PI,79,1445 CR7 Drive,"26,75","243,00","196,76","182,22","172,04","160,41",PI
PI,00,0948 Shake Sachê Baunilha Cremoso (caixa com 7 sachês),"9,55","87,00","65,81","60,78","57,26","53,24",PI
PI,57,0020 Xtra-Cal,"11,00","109,00","80,97","73,91","68,96","63,31",PI
PI,76,448K Sopa Instantânea (Frango com Legumes),"9,35","87,00","65,48","61,16","58,13","54,67",PI
PI,85,445K Sopa Instantânea (Creme de Cebola),"9,35","87,00","65,48","61,16","58,13","54,67",PI
PI,85,190K Liftoff sabor Amora Intenso,"20,20","196,00","150,09","138,78","130,87","121,82",PI
PI,03,371K Liftoff sabor Abacaxi,"20,20","196,00","150,09","138,78","130,87","121,82",PI
PI,03,317K Liftoff sabor Limão Siciliano,"20,20","196,00","150,09","138,78","130,87","121,82",PI
PI,03,060K Herbal Concentrate Original 51g,"21,45","222,00","164,99","150,60","140,52","129,00",PI
PI,01,057K N-R-G Original 100g,"24,45","252,00","180,55","164,79","153,76","141,16",PI
PI,77,0031 Barras de Proteína Limão Citrus (7 barras por caixa),"10,40","110,00","91,86","87,11","83,79","80,00",PI
PI,69,214K Barras de Proteína Vanilla Almond (7 Barras por Caixa),"10,40","110,00","91,86","87,11","83,79","80,00",PI
PI,69,325K Creatina Premium 150g,"18,45","181,00","140,31","129,51","121,95","113,31",PI
PI,14,318K Shape Control,"35,35","338,00","258,30","235,76","219,98","201,95",PI
PI,71,1923 Beauty Booster Frutas Vermelhas,"27,80","301,00","229,74","209,70","195,66","179,62",PI
PI,46,395K Nutri Soup Frango Com Legumes,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,058K N-R-G Original 60g,"15,85","159,00","119,73","109,28","101,96","93,61",PI
PI,91,056K N-R-G Guaraná Tropical 100g,"24,45","252,00","180,55","164,79","153,76","141,16",PI
PI,77,0246 Pó de Proteína 480g,"39,25","401,00","302,72","276,30","257,81","236,68",PI
PI,03,062K Herbal Concentrate Laranja e Especiarias 102g,"37,60","364,00","273,32","249,47","232,77","213,69",PI
PI,68,306B NutreV pack 10 unidades,"80,90","790,00","536,75","513,41","497,07","478,39",PI
PI,91,1639 NutreV,"7,40","79,00","66,46","63,34","61,15","58,65",PI
PI,93,497K Fiber Concentrate Immune Limão e Mel,"20,30","206,00","145,09","132,43","123,57","113,44",PI
PI,59,040K Protein Crunch,"12,30","112,00","87,09","79,49","74,17","68,09",PI
PI,54,146K Glutamina,"9,10","80,00","61,58","57,37","54,42","51,05",PI
PI,61,0242 Pó de Proteína 240g,"19,30","221,00","163,71","149,43","139,43","128,00",PI
PI,63,004K Herbal Concentrate Original Embalagem Econômica,"138,05","1072,00","853,51","779,03","726,89","667,30",PI
PI,83,063K Herbal Concentrate Limão 51g,"21,45","222,00","164,99","150,60","140,52","129,00",PI
PI,01,0927 Fiber Powder,"24,65","243,00","184,95","168,81","157,51","144,60",PI
PI,87,191K Whey Protein sabor Baunilha,"24,55","256,00","193,82","181,00","172,03","161,78",PI
PI,59,061K Herbal Concentrate Canela 102g,"37,60","364,00","273,32","249,47","232,77","213,69",PI
PI,68,003K N-R-G Guaraná Tropical Embalagem Econômica,"84,80","668,00","531,36","484,99","452,53","415,44",PI
PI,90,147K Whey Protein 3W,"24,55","256,00","193,82","181,00","172,03","161,78",PI
PI,59,223K OnActive Drink,"19,45","176,00","135,89","125,66","118,50","110,31",PI
PI,67,1417 Herbalife24 Hours Tri-Core Protein Blend Chocolate,"46,80","467,00","377,58","348,34","327,87","304,47",PI
PI,51,0931 Nutri Soup Creme Verde,"25,75","246,00","184,25","168,17","156,92","144,05",PI
PI,59,148K BCAA 5:1:1,"25,85","264,00","200,49","186,94","177,45","166,61",PI
PI,45,496K Fiber Concentrate Uva,"20,30","206,00","145,09","132,43","123,57","113,44",PI
PI,498K,Fiber Concentrate Manga,"20,30","206,00","145,09","132,43","123,57","113,44",PI
PI,59,059K Herbal Concentrate Original 102g,"37,60","364,00","273,32","249,47","232,77","213,69",PI
PI,68,0065 Herbalifeline,"27,70","281,00","209,59","191,30","178,49","163,86",PI
PI,92,3122 Multivitaminas e Minerais,"10,75","122,00","88,38","80,67","75,27","69,10",PI
PI,a,0411 Sabonete em Barra Soft Green Chá Verde,"2,05","21,00","11,61","10,84","10,30","9,68",PI
PI,72,0431 Creme Hidratante Soft Green Chá Verde,"8,20","82,00","52,63","49,35","47,05","44,43",PI
PI,42,0766 Cleanser Facial Cítrico 150ml,"13,70","182,00","106,30","98,69","93,36","87,27",PI
PI,37,0770 Gel Firmador para os Olhos 15ml,"21,70","282,00","164,33","152,20","143,71","134,00",PI
